featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,0,30 October 2020,00:55:19,Manager, Manager,,"30 October 2020
""Manager""
5.0
★★★★★
Current Employee ",full-time,,0,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,
0,0,0,9 November 2020,23:43:55,Good, Senior Engineer,Ma On Shan Tsuen,"9 November 2020
""Good""
3.0
★★★★★
Current Employee ",full-time, less than a year,0,Pretty comfortable. No need to OT much.,Some leaders are not researchers and not professional enough. They are sometimes confusing.,Some leaders are not researchers and not professional enough. They even don't have basic knowledge of computer science and then yell at me to do something stupid. They are sometimes confusing.,3.0,5.0,3.0,3.0,3.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,6 November 2020,00:24:10,Working at ASTRI, Consultant,Sha Tin,"6 November 2020
""Working at ASTRI""
2.0
★★★★★
Current Employee ",full-time,,0,Great location. Reasonable clubhouse . Quiet,Poor management. Very little chance for promotion,,2.0,2.0,1.0,1.0,1.0,3.0,1.0,,,,,,
0,0,0,26 September 2020,20:33:49,Impactful Jobs, Software Engineer,Hong Kong,"26 September 2020
""Impactful Jobs""
4.0
★★★★★
Current Employee ",full-time, less than a year,0,"Meaningful tasks. The tasks assigned usually have an impact on society.
Good work/life balance",It depends on your career goals.,,4.0,4.0,2.0,,2.0,4.0,3.0,Recommends,Neutral Outlook,Approves of CEO,,,
0,0,0,2 September 2020,02:15:45,Nice atmosphere. Great work and life balance, Senior Engineer,Hong Kong,"2 September 2020
""Nice atmosphere. Great work and life balance""
5.0
★★★★★
Current Employee ",full-time,,0,Excellent Colleagues. Without to much pressure,The salary is relatively low,,5.0,5.0,5.0,,5.0,5.0,5.0,Recommends,,,,,
0,0,0,11 September 2020,21:11:15,Neither fish nor fowl, Engineer,,"11 September 2020
""Neither fish nor fowl""
1.0
★★★★★
Former Employee ",full-time, more than 3 years,0,"Flexible work hours.
Good work life balance depending of the team.
Good for retirement.","Salary is judged according to years of working experience outside academia.
Common businessman rules over the technical and research direction.
Low paying but doing the same thing which is no difference from the private company. 
Covered up all the office scandal.","Get a Professor to be the CEO, COO, not a businessman.",1.0,5.0,1.0,,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,,,
0,0,0,23 July 2020,00:46:43,"good company, learn a lot", Engineer,Hong Kong,"23 July 2020
""good company, learn a lot""
4.0
★★★★★
Current Employee ",full-time, less than a year,0,"flexible working time, work life balanced","low salary, promotion not easy",,4.0,4.0,4.0,,4.0,3.0,4.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,0,30 July 2020,20:16:41,Basic idea, Algorithms Engineer,Hong Kong,"30 July 2020
""Basic idea""
3.0
★★★★★
Current Employee ",full-time,,0,"Good for fresh grads, can be treated as a transition period.","Not commercial company, personal development is releatively slow and restricted.",,3.0,5.0,3.0,,4.0,3.0,3.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,0,10 July 2020,20:28:54,Nice company, Lead Engineer,Sha Tin,"10 July 2020
""Nice company""
5.0
★★★★★
Current Employee ",full-time,,0,Good work and balance; nice view,low salary and far from city,,5.0,5.0,4.0,,4.0,4.0,2.0,,,,,,
0,0,0,29 June 2020,16:07:10,Good salary but complicated company, Senior Software Engineer,Hong Kong,"29 June 2020
""Good salary but complicated company""
4.0
★★★★★
Former Employee ",full-time, more than a year,0,Good salary and work life balanced,The company is very complicated. You always busy in finding funding to support your project.,,4.0,3.0,3.0,,3.0,3.0,2.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
